geo,country,year,house_price_index,inflation,earning,price_to_income_ratio,real_hpi,price_to_real_income_ratio,hpi_growth,income_growth,region
FR,France,2016,101.04,0.523047716980755,26880.7,0.0,100.51426244504118,1.01,1.0399999999999965,-0.28951639078220737,West Europe
HU,Hungary,2016,113.38,1.352,7138.72,0.02,111.86755071434209,1.01,13.379999999999992,6.491317313013822,East Europe
IE,Ireland,2016,107.46,0.7180537772087,33346.95,0.0,106.69388056058418,1.01,7.46,3.0992267005353513,
IS,Iceland,2016,109.77,2.261,44042.96,0.0,107.34297532783759,1.02,9.769999999999989,18.947038366484016,North Europe
IT,Italy,2016,100.3,1.134,21092.75,0.0,99.17535151383314,1.01,0.29999999999998916,0.19537688785946639,South Europe
LT,Lithuania,2016,105.4,1.57599999999999,7217.25,0.01,103.76466881940617,1.02,5.400000000000005,8.49989100776476,
LU,Luxembourg,2016,106.01,0.770865378630927,38935.73,0.0,105.19905689177504,1.01,6.010000000000004,0.7893703442254374,
LV,Latvia,2016,108.49,0.861000000000004,7212.23,0.02,107.56387503594054,1.01,8.489999999999998,5.835437892632989,
MT,Malta,2016,105.45,1.46997601841692,16926.2,0.01,103.922366139971,1.01,5.449999999999999,3.600512916247145,
NL,Netherlands,2016,105.02,0.454999999999998,34975.7,0.0,104.54432332885371,1.0,5.020000000000002,1.2277325152308727,West Europe
NO,Norway,2016,107.88,-1.4746201487728,43662.09,0.0,109.4946298739454,0.99,7.879999999999998,-1.7758021896243759,North Europe
PL,Poland,2016,101.86,0.311999999999998,8200.43,0.01,101.54318526198261,1.0,1.859999999999995,-0.9130025531688624,East Europe
PT,Portugal,2016,107.12,1.71698266742616,11704.24,0.01,105.31181439999999,1.02,7.120000000000015,1.4594465268362722,South Europe
SE,Sweden,2016,108.24,1.52507821612724,33711.94,0.0,106.61405231284628,1.02,8.240000000000002,0.9646344622692427,North Europe
SI,Slovenia,2016,103.25,0.873295687983109,12202.35,0.01,102.35612834477858,1.01,3.2499999999999973,1.1597975535649896,
AT,Austria,2017,114.26,0.861087110203436,31083.14,0.0,113.28452158676079,1.01,5.279646180779518,1.5738101983789665,West Europe
BE,Belgium,2017,106.37,1.82788630409827,28238.77,0.0,104.46057937639713,1.02,3.6340607950116954,2.4094838794141094,West Europe
BG,Bulgaria,2017,116.3,3.9419532270963,5132.74,0.02,111.88937324075812,1.04,8.671276396935145,9.462257813416365,East Europe
DE,Germany,2017,114.1,1.35105795041844,29468.63,0.0,112.57899257037694,1.01,6.139534883720921,1.6639228436034603,West Europe
EE,Estonia,2017,110.51,3.11234966265768,12233.44,0.01,107.17435919319507,1.03,5.498806682577562,6.7983388492594,
